place_id,class_name,UTMx,UTMy,filename
2497,brussels,591954.11,5635102.78,@0591954.11@5635102.78@31@U@050.86029@0004.30655@HhY2-l5scXdvP3O2iihNuw@@222@@@@200903@2497_Brussels@.jpg
2497,brussels,591954.53,5635102.43,@0591954.53@5635102.43@31@U@050.86029@0004.30656@AaDREOjIEw88I1XfTKUSHQ@@217@@@@200909@2497_Brussels@.jpg
2497,brussels,591957.44,5635101.34,@0591957.44@5635101.34@31@U@050.86028@0004.30660@FHH5_Pr87LvszAaEasydNA@@224@@@@201904@2497_Brussels@.jpg
2497,brussels,591957.49,5635104.55,@0591957.49@5635104.55@31@U@050.86031@0004.30660@rGHnW1dkjZpGhsRIJXCtFw@@023@@@@201705@2497_Brussels@.jpg
2497,brussels,591957.6,5635102.37,@0591957.60@5635102.37@31@U@050.86029@0004.30660@2z0cj3q-2fS9P4r5Q8iqBg@@202@@@@201310@2497_Brussels@.jpg
2497,brussels,591958.2,5635105.31,@0591958.20@5635105.31@31@U@050.86031@0004.30661@OuJtCKANUHpcuw7OoKZqkQ@@031@@@@202007@2497_Brussels@.jpg
2497,brussels,591959.21,5635104.54,@0591959.21@5635104.54@31@U@050.86031@0004.30663@2f3x0WSrUbzbfdcrgnbQpw@@042@@@@201306@2497_Brussels@.jpg
2812,brussels,591968.89,5635638.28,@0591968.89@5635638.28@31@U@050.86510@0004.30690@ul6zgBYBnQYuVvJ1ieYFSA@@032@@@@201310@2812_Brussels@.jpg
2812,brussels,591969.94,5635640.31,@0591969.94@5635640.31@31@U@050.86512@0004.30691@b4dsud0Vhugea9NWbK1FPQ@@196@@@@201409@2812_Brussels@.jpg
2812,brussels,591970.53,5635639.13,@0591970.53@5635639.13@31@U@050.86511@0004.30692@WfVsjSEjVMG1hB8ZAh9ncQ@@195@@@@200903@2812_Brussels@.jpg
2812,brussels,591971.04,5635640.0,@0591971.04@5635640.00@31@U@050.86512@0004.30693@kwuM16LmiC9JSaQHu6YtUQ@@196@@@@201705@2812_Brussels@.jpg
2264,brussels,591988.13,5634852.78,@0591988.13@5634852.78@31@U@050.85804@0004.30697@PIm23H5H5mG1prQ_JuROrQ@@309@@@@201409@2264_Brussels@.jpg
2264,brussels,591989.35,5634853.56,@0591989.35@5634853.56@31@U@050.85805@0004.30699@xMw7TRNGl6nMLsDq5iV5WQ@@302@@@@200903@2264_Brussels@.jpg
