place_id,class_name,UTMx,UTMy,filename
1313,buenosaires,369415.05,6172669.77,@0369415.05@6172669.77@21@H@-34.57946@-058.42374@VkhmNUwBR3dDPQgZH_Fw7g@@450@@@@201905@1313_BuenosAires@.jpg
1313,buenosaires,369415.09,6172668.2,@0369415.09@6172668.20@21@H@-34.57948@-058.42374@bk1IUdXdm8bDItLTjr-eKQ@@464@@@@201405@1313_BuenosAires@.jpg
1313,buenosaires,369416.71,6172673.46,@0369416.71@6172673.46@21@H@-34.57943@-058.42372@I5XF9gVgUEAMizys_ILDIQ@@454@@@@201611@1313_BuenosAires@.jpg
1313,buenosaires,369417.05,6172669.07,@0369417.05@6172669.07@21@H@-34.57947@-058.42372@y-stSZf3ph7KvUUSLZOxFA@@461@@@@201310@1313_BuenosAires@.jpg
1313,buenosaires,369418.83,6172670.73,@0369418.83@6172670.73@21@H@-34.57945@-058.42370@oHghh7ZeLosWhJh1e563TA@@470@@@@201707@1313_BuenosAires@.jpg
943,buenosaires,369430.65,6171222.83,@0369430.65@6171222.83@21@H@-34.59251@-058.42379@_29X_rKYhKpYnTWEhKthZw@@452@@@@201506@943_BuenosAires@.jpg
943,buenosaires,369431.74,6171224.39,@0369431.74@6171224.39@21@H@-34.59250@-058.42378@TCXs1MLJo2J--ThfKRvbeg@@437@@@@201612@943_BuenosAires@.jpg
943,buenosaires,369432.43,6171225.63,@0369432.43@6171225.63@21@H@-34.59248@-058.42377@p0pvWIhmVF0V2GfxxuThZQ@@436@@@@201706@943_BuenosAires@.jpg
205,buenosaires,369433.64,6168206.94,@0369433.64@6168206.94@21@H@-34.61970@-058.42422@sWIfMsn0_p30k_T0hYEhXA@@157@@@@201904@205_BuenosAires@.jpg
205,buenosaires,369433.78,6168205.74,@0369433.78@6168205.74@21@H@-34.61971@-058.42422@oMaXY35OppYvD64UMfoeBw@@159@@@@201310@205_BuenosAires@.jpg
205,buenosaires,369433.84,6168205.95,@0369433.84@6168205.95@21@H@-34.61971@-058.42422@CNvrymHp6f4zP1BgVTCGUQ@@144@@@@201706@205_BuenosAires@.jpg
205,buenosaires,369433.89,6168207.22,@0369433.89@6168207.22@21@H@-34.61970@-058.42422@O_zHFRCdICmZhs7lhInnlw@@160@@@@201707@205_BuenosAires@.jpg
205,buenosaires,369433.96,6168206.46,@0369433.96@6168206.46@21@H@-34.61970@-058.42422@qLOVNCJvbPb2J6o4BK8Gpg@@147@@@@201410@205_BuenosAires@.jpg
943,buenosaires,369434.34,6171224.07,@0369434.34@6171224.07@21@H@-34.59250@-058.42375@qh8vo9a9CiI_NwbTkVGm9g@@449@@@@201905@943_BuenosAires@.jpg
205,buenosaires,369434.56,6168202.07,@0369434.56@6168202.07@21@H@-34.61974@-058.42421@Tzx2JkW6nPhn_xT4-UYG8A@@145@@@@201407@205_BuenosAires@.jpg
205,buenosaires,369434.92,6168206.4,@0369434.92@6168206.40@21@H@-34.61970@-058.42421@8esjg-ci_cvAIreuyWbCWg@@134@@@@201405@205_BuenosAires@.jpg
205,buenosaires,369435.06,6168204.03,@0369435.06@6168204.03@21@H@-34.61973@-058.42421@wHx7kRBn4X24mn1ubbtlIA@@163@@@@201408@205_BuenosAires@.jpg
943,buenosaires,369435.13,6171225.74,@0369435.13@6171225.74@21@H@-34.59248@-058.42374@XpK2LU942XS0pkDktxB8dw@@458@@@@201407@943_BuenosAires@.jpg
943,buenosaires,369436.6,6171226.64,@0369436.60@6171226.64@21@H@-34.59248@-058.42373@vJgBmgIkFyr8K7soCxjANA@@440@@@@201707@943_BuenosAires@.jpg
1148,buenosaires,369440.59,6172036.56,@0369440.59@6172036.56@21@H@-34.58517@-058.42356@n7nGNAWJtHG92LqRSPHHZw@@138@@@@201310@1148_BuenosAires@.jpg
1148,buenosaires,369440.86,6172034.89,@0369440.86@6172034.89@21@H@-34.58519@-058.42355@nR7suu3O5pOrSYP41nMxMg@@152@@@@201406@1148_BuenosAires@.jpg
1148,buenosaires,369440.9,6172034.89,@0369440.90@6172034.89@21@H@-34.58519@-058.42355@s8jDOLOPkw25uQim_ALQxQ@@150@@@@201706@1148_BuenosAires@.jpg
1148,buenosaires,369441.21,6172034.28,@0369441.21@6172034.28@21@H@-34.58520@-058.42355@cLU6XjL1pH2Hu4mpfGGPGw@@162@@@@201509@1148_BuenosAires@.jpg
1148,buenosaires,369441.23,6172035.53,@0369441.23@6172035.53@21@H@-34.58518@-058.42355@m0fnA7Czxw_auNkxo7UGkQ@@150@@@@201904@1148_BuenosAires@.jpg
1148,buenosaires,369442.44,6172033.98,@0369442.44@6172033.98@21@H@-34.58520@-058.42354@I2k7Q6A6lX14PljpdGz8vg@@139@@@@201612@1148_BuenosAires@.jpg
1148,buenosaires,369442.65,6172034.71,@0369442.65@6172034.71@21@H@-34.58519@-058.42354@FZ3VHlomVnaYy2w1Cdy4wg@@163@@@@201407@1148_BuenosAires@.jpg
1148,buenosaires,369442.74,6172032.64,@0369442.74@6172032.64@21@H@-34.58521@-058.42353@enCbVqUIhRC_fPr9IpQ9vw@@154@@@@201506@1148_BuenosAires@.jpg
738,buenosaires,369446.04,6170372.37,@0369446.04@6170372.37@21@H@-34.60018@-058.42375@DIAzs63r1jkBauGiL5RDXA@@203@@@@201708@738_BuenosAires@.jpg
738,buenosaires,369446.07,6170374.18,@0369446.07@6170374.18@21@H@-34.60016@-058.42375@fYK8YSjL6MrLRUN9gI0cSQ@@214@@@@201905@738_BuenosAires@.jpg
984,buenosaires,369446.43,6171380.52,@0369446.43@6171380.52@21@H@-34.59109@-058.42359@mn_haJmnFw2MN0oVPqDArw@@427@@@@201904@984_BuenosAires@.jpg
738,buenosaires,369446.6,6170372.5,@0369446.60@6170372.50@21@H@-34.60018@-058.42375@B6s86Q1bx1axExqgEYXiKA@@206@@@@201405@738_BuenosAires@.jpg
738,buenosaires,369446.77,6170373.93,@0369446.77@6170373.93@21@H@-34.60016@-058.42375@dUZcfLt6RnYEDw1qrPldOA@@209@@@@201310@738_BuenosAires@.jpg
984,buenosaires,369447.32,6171380.81,@0369447.32@6171380.81@21@H@-34.59109@-058.42358@1ME3evuH3jzrg-4FjEQOuw@@442@@@@201407@984_BuenosAires@.jpg
984,buenosaires,369447.36,6171380.69,@0369447.36@6171380.69@21@H@-34.59109@-058.42358@Pml6v0JTi5yTb64PsrVotQ@@439@@@@201405@984_BuenosAires@.jpg
738,buenosaires,369447.51,6170373.19,@0369447.51@6170373.19@21@H@-34.60017@-058.42374@ZS96HUZXLcmIB1RXm6wQAw@@209@@@@201506@738_BuenosAires@.jpg
738,buenosaires,369447.58,6170373.06,@0369447.58@6170373.06@21@H@-34.60017@-058.42374@9lqvqoyj2zRieEa8546giQ@@208@@@@201407@738_BuenosAires@.jpg
738,buenosaires,369447.6,6170372.21,@0369447.60@6170372.21@21@H@-34.60018@-058.42374@9AUKTRjNMXjYedmXSJmsAQ@@207@@@@201612@738_BuenosAires@.jpg
984,buenosaires,369447.62,6171381.76,@0369447.62@6171381.76@21@H@-34.59108@-058.42358@CM9hXAnF8T_rNx-lZKLpAg@@448@@@@201310@984_BuenosAires@.jpg
984,buenosaires,369448.07,6171379.0,@0369448.07@6171379.00@21@H@-34.59110@-058.42358@dobFHqzOx04QhYZOVJ7cnw@@425@@@@201506@984_BuenosAires@.jpg
984,buenosaires,369448.17,6171378.86,@0369448.17@6171378.86@21@H@-34.59111@-058.42358@YXmMFKro55sz9nCISor2Ag@@445@@@@201706@984_BuenosAires@.jpg
