place_id,class_name,UTMx,UTMy,filename
696,madrid,439341.32,4473118.64,@0439341.32@4473118.64@30@T@040.40647@-003.71487@Nac5mlosjnSULEUlU7o1SA@@150@@@@200805@696_Madrid@.jpg
696,madrid,439341.45,4473118.55,@0439341.45@4473118.55@30@T@040.40647@-003.71487@_qBw2_0GdyblWYwFDP7SGQ@@151@@@@201905@696_Madrid@.jpg
696,madrid,439342.74,4473120.44,@0439342.74@4473120.44@30@T@040.40648@-003.71486@XynV4mEmH0szvrIU-11Epg@@158@@@@201808@696_Madrid@.jpg
696,madrid,439343.36,4473120.26,@0439343.36@4473120.26@30@T@040.40648@-003.71485@8uaZDNIHbd-pKxUiIL24Fw@@151@@@@201805@696_Madrid@.jpg
696,madrid,439343.57,4473120.78,@0439343.57@4473120.78@30@T@040.40649@-003.71485@vsHPbVOTqNQRW9wm6RCWlg@@157@@@@201206@696_Madrid@.jpg
696,madrid,439343.89,4473121.74,@0439343.89@4473121.74@30@T@040.40650@-003.71484@Ci6FQRFMrCfgZs3DnycOTQ@@163@@@@201506@696_Madrid@.jpg
696,madrid,439343.91,4473121.14,@0439343.91@4473121.14@30@T@040.40649@-003.71484@-owlj5PU-Bm9nxzaB3OmMA@@153@@@@201310@696_Madrid@.jpg
58,madrid,439357.81,4471848.62,@0439357.81@4471848.62@30@T@040.39503@-003.71456@E_Q7NOIscJN8wSI8z_Zsyg@@146@@@@201402@58_Madrid@.jpg
58,madrid,439358.33,4471848.11,@0439358.33@4471848.11@30@T@040.39502@-003.71455@ZKKFkujenxY7vxUc-EZeQg@@157@@@@201905@58_Madrid@.jpg
58,madrid,439361.72,4471847.81,@0439361.72@4471847.81@30@T@040.39502@-003.71451@aIByJhFlWaRTyrwpcIjeiw@@140@@@@200806@58_Madrid@.jpg
58,madrid,439362.14,4471846.19,@0439362.14@4471846.19@30@T@040.39501@-003.71451@8aoTNciRoinVh3JM9uwzGw@@143@@@@201807@58_Madrid@.jpg
58,madrid,439362.73,4471845.76,@0439362.73@4471845.76@30@T@040.39500@-003.71450@1sB67SdCrzE1xqRada0E4w@@148@@@@201706@58_Madrid@.jpg
