place_id,class_name,UTMx,UTMy,filename
5785,melbourne,317553.5,5814825.64,@0317553.50@5814825.64@55@H@-37.79573@0144.92780@C4c6AftRMnh8I0MTF2qGhw@@052@@@@201610@5785_Melbourne@.jpg
5785,melbourne,317555.01,5814824.94,@0317555.01@5814824.94@55@H@-37.79574@0144.92782@-g04bqmSvIMzVaTBT-xX9w@@234@@@@202012@5785_Melbourne@.jpg
5785,melbourne,317555.58,5814828.07,@0317555.58@5814828.07@55@H@-37.79571@0144.92783@Lc8N6qkbdswreRc6e7YDNg@@058@@@@201901@5785_Melbourne@.jpg
5785,melbourne,317555.87,5814826.31,@0317555.87@5814826.31@55@H@-37.79573@0144.92783@YwfYnYX2RMJsIpdRoYD56Q@@235@@@@200912@5785_Melbourne@.jpg
5785,melbourne,317556.07,5814827.5,@0317556.07@5814827.50@55@H@-37.79571@0144.92783@jldFIhFucHv223l42KsZFA@@063@@@@200711@5785_Melbourne@.jpg
5785,melbourne,317556.76,5814828.26,@0317556.76@5814828.26@55@H@-37.79571@0144.92784@wIdDihU_V2B3N4SlIW_gXw@@058@@@@201710@5785_Melbourne@.jpg
5785,melbourne,317557.25,5814827.41,@0317557.25@5814827.41@55@H@-37.79572@0144.92784@eWAXjMMnD_r-iTwG46ZD_w@@232@@@@201403@5785_Melbourne@.jpg
5785,melbourne,317557.5,5814827.99,@0317557.50@5814827.99@55@H@-37.79571@0144.92785@byS33Qz6Zye3XanzmygATw@@230@@@@201907@5785_Melbourne@.jpg
5785,melbourne,317558.36,5814828.15,@0317558.36@5814828.15@55@H@-37.79571@0144.92786@MDhx5Pv6UuQV7LpFWAzHhA@@232@@@@201910@5785_Melbourne@.jpg
5874,melbourne,317566.11,5814927.68,@0317566.11@5814927.68@55@H@-37.79481@0144.92797@JzWLkqK89zRVp05RVpd3bg@@234@@@@201610@5874_Melbourne@.jpg
5874,melbourne,317566.52,5814928.19,@0317566.52@5814928.19@55@H@-37.79481@0144.92798@j1FxNr0VOIdhG4XQAB_yRg@@232@@@@201907@5874_Melbourne@.jpg
5874,melbourne,317566.59,5814929.01,@0317566.59@5814929.01@55@H@-37.79480@0144.92798@tbKKLY7E50uzlNAF5KFVEA@@053@@@@202012@5874_Melbourne@.jpg
5874,melbourne,317566.82,5814929.79,@0317566.82@5814929.79@55@H@-37.79480@0144.92798@Rz1tO3ZhxEuNA4UC-y_s-w@@238@@@@200711@5874_Melbourne@.jpg
5874,melbourne,317567.12,5814929.74,@0317567.12@5814929.74@55@H@-37.79480@0144.92798@w8HFLZm2fv6H3KK4_GZPTQ@@054@@@@201901@5874_Melbourne@.jpg
5874,melbourne,317567.31,5814929.22,@0317567.31@5814929.22@55@H@-37.79480@0144.92798@qwHuSUpQlnfnzHzqN-GvTg@@245@@@@201710@5874_Melbourne@.jpg
5874,melbourne,317568.51,5814929.83,@0317568.51@5814929.83@55@H@-37.79480@0144.92800@qT0RCNUt8Vq9WhxUnGQUug@@239@@@@200912@5874_Melbourne@.jpg
5096,melbourne,317576.8,5814029.12,@0317576.80@5814029.12@55@H@-37.80291@0144.92787@ZtVDeideBVaMkXXFTkg53w@@253@@@@201504@5096_Melbourne@.jpg
5096,melbourne,317577.06,5814029.72,@0317577.06@5814029.72@55@H@-37.80291@0144.92787@IiDbTwjAGuTsWIRY-MbmmA@@252@@@@200804@5096_Melbourne@.jpg
5096,melbourne,317578.02,5814032.2,@0317578.02@5814032.20@55@H@-37.80288@0144.92788@qyRIQ9kL5NK-yyUEQLMcIA@@236@@@@201410@5096_Melbourne@.jpg
5096,melbourne,317578.38,5814032.07,@0317578.38@5814032.07@55@H@-37.80288@0144.92788@0ixUwVwlZgYf0_eJpqSZ-g@@248@@@@201712@5096_Melbourne@.jpg
5096,melbourne,317578.59,5814029.01,@0317578.59@5814029.01@55@H@-37.80291@0144.92789@HzQGUeRLw7JQ7WJX92P7Bw@@234@@@@201503@5096_Melbourne@.jpg
5096,melbourne,317578.89,5814031.61,@0317578.89@5814031.61@55@H@-37.80289@0144.92789@erzjYpecnaN-3ewZz9aF_Q@@244@@@@202002@5096_Melbourne@.jpg
5096,melbourne,317581.1,5814031.61,@0317581.10@5814031.61@55@H@-37.80289@0144.92792@UWkHLaFtrEE6CgOIrlMFaw@@241@@@@201812@5096_Melbourne@.jpg
5587,melbourne,317590.32,5814572.81,@0317590.32@5814572.81@55@H@-37.79802@0144.92816@cw98updrOVUYgQqQu2BkVQ@@085@@@@201710@5587_Melbourne@.jpg
5587,melbourne,317591.36,5814573.25,@0317591.36@5814573.25@55@H@-37.79801@0144.92817@6txXeUZzhiNWGsb7l3ePsg@@091@@@@202012@5587_Melbourne@.jpg
5587,melbourne,317591.51,5814573.82,@0317591.51@5814573.82@55@H@-37.79801@0144.92817@tNiSXii9Xb4VHQJJtZHcvQ@@090@@@@200711@5587_Melbourne@.jpg
5587,melbourne,317591.87,5814572.02,@0317591.87@5814572.02@55@H@-37.79802@0144.92817@8CsJ39PAMt3dSSWE0koBUg@@278@@@@201404@5587_Melbourne@.jpg
5587,melbourne,317592.84,5814573.43,@0317592.84@5814573.43@55@H@-37.79801@0144.92818@sIX8_7PSWVPuyCMkPdN_mQ@@099@@@@200912@5587_Melbourne@.jpg
5587,melbourne,317594.23,5814574.95,@0317594.23@5814574.95@55@H@-37.79800@0144.92820@0SEjw6O7l799eI0OcD9-cg@@088@@@@201403@5587_Melbourne@.jpg
5587,melbourne,317594.27,5814573.83,@0317594.27@5814573.83@55@H@-37.79801@0144.92820@zbr1MEZjJFIBlOiK4RdXUQ@@281@@@@201901@5587_Melbourne@.jpg
4995,melbourne,317595.4,5814030.28,@0317595.40@5814030.28@55@H@-37.80290@0144.92808@h09BVu6dE5unxsYf_WaJzA@@179@@@@201910@4995_Melbourne@.jpg
