place_id,class_name,UTMx,UTMy,filename
0,minneapolis,476355.38,4976144.91,@0476355.38@4976144.91@15@T@044.93834@-093.29967@ialvv2bzjG5rxqT7Hg8yrA@@283@@@@201905@0_Minneapolis@.jpg
0,minneapolis,476356.0,4976147.22,@0476356.00@4976147.22@15@T@044.93836@-093.29967@uPazrYMVtAzbJbvKpt2olw@@297@@@@201708@0_Minneapolis@.jpg
0,minneapolis,476356.33,4976149.68,@0476356.33@4976149.68@15@T@044.93838@-093.29966@xLmT78zhJ-9ZVW12BYMLNg@@285@@@@201611@0_Minneapolis@.jpg
0,minneapolis,476356.9,4976142.97,@0476356.90@4976142.97@15@T@044.93832@-093.29965@CwHmiTJt-Jh4Pkwj_iPH1A@@294@@@@201109@0_Minneapolis@.jpg
1820,minneapolis,476357.1,4978359.4,@0476357.10@4978359.40@15@T@044.95827@-093.29976@bJWcvTuEnUtL_0PKq-2REw@@124@@@@201907@1820_Minneapolis@.jpg
182,minneapolis,476357.73,4976360.11,@0476357.73@4976360.11@15@T@044.94028@-093.29965@7cTtXi1a4fhUAvmcE8OSHQ@@304@@@@201905@182_Minneapolis@.jpg
1820,minneapolis,476357.77,4978357.41,@0476357.77@4978357.41@15@T@044.95826@-093.29975@wdvJayLINm4FifHeEnM-Nw@@111@@@@201309@1820_Minneapolis@.jpg
182,minneapolis,476357.83,4976359.8,@0476357.83@4976359.80@15@T@044.94027@-093.29965@qWhP15F7YWbQK3S2ezdfPg@@133@@@@201611@182_Minneapolis@.jpg
1820,minneapolis,476357.92,4978355.79,@0476357.92@4978355.79@15@T@044.95824@-093.29975@5VNZf3dMf9ovUgR0lToIug@@111@@@@201109@1820_Minneapolis@.jpg
182,minneapolis,476358.59,4976359.27,@0476358.59@4976359.27@15@T@044.94027@-093.29964@tAnmo5w00zq5xlezDeFgVQ@@126@@@@201708@182_Minneapolis@.jpg
1820,minneapolis,476359.2,4978356.92,@0476359.20@4978356.92@15@T@044.95825@-093.29973@6VrDm6kjHkhZ14Gqofltsg@@294@@@@201409@1820_Minneapolis@.jpg
182,minneapolis,476359.3,4976359.74,@0476359.30@4976359.74@15@T@044.94027@-093.29963@oXNdbcSqI1JvBfybw91Ihg@@121@@@@201109@182_Minneapolis@.jpg
2002,minneapolis,476359.62,4978579.25,@0476359.62@4978579.25@15@T@044.96025@-093.29973@iiz90l1rBaec8P15PvMafA@@065@@@@200707@2002_Minneapolis@.jpg
1820,minneapolis,476359.81,4978362.91,@0476359.81@4978362.91@15@T@044.95831@-093.29972@xi1NsJPxfHLWwNTurdiQ_A@@299@@@@201106@1820_Minneapolis@.jpg
364,minneapolis,476359.85,4976581.94,@0476359.85@4976581.94@15@T@044.94227@-093.29964@Dgb3pIunyQRaZNewK-fj7Q@@341@@@@201905@364_Minneapolis@.jpg
182,minneapolis,476359.87,4976362.64,@0476359.87@4976362.64@15@T@044.94030@-093.29963@7ldyfkvRKF6VPUL3iTtdGw@@306@@@@201409@182_Minneapolis@.jpg
364,minneapolis,476360.0,4976584.18,@0476360.00@4976584.18@15@T@044.94229@-093.29964@aaVVjwirrkg_auPexGVjjA@@166@@@@201611@364_Minneapolis@.jpg
364,minneapolis,476360.19,4976583.26,@0476360.19@4976583.26@15@T@044.94229@-093.29963@GXqA4_Px1asYKMjEGFu0Gw@@357@@@@201109@364_Minneapolis@.jpg
364,minneapolis,476360.27,4976583.41,@0476360.27@4976583.41@15@T@044.94229@-093.29963@TJFnPupROEt3Jrl_KPOh6A@@170@@@@201708@364_Minneapolis@.jpg
1820,minneapolis,476360.51,4978359.74,@0476360.51@4978359.74@15@T@044.95828@-093.29971@TnhWfMazeBEwhNKUq95aTg@@311@@@@201110@1820_Minneapolis@.jpg
2002,minneapolis,476360.87,4978580.44,@0476360.87@4978580.44@15@T@044.96026@-093.29972@0HNfUT8p8tUESVsJwfLoUg@@244@@@@201409@2002_Minneapolis@.jpg
2002,minneapolis,476360.88,4978577.03,@0476360.88@4978577.03@15@T@044.96023@-093.29972@ppw_L3gUTtJJuVMv_BfZ_Q@@248@@@@201907@2002_Minneapolis@.jpg
455,minneapolis,476361.02,4976698.96,@0476361.02@4976698.96@15@T@044.94333@-093.29963@F22iBQpa71z3eTOlgqhsZA@@026@@@@201611@455_Minneapolis@.jpg
455,minneapolis,476361.11,4976699.18,@0476361.11@4976699.18@15@T@044.94333@-093.29963@sTMyTKnbY1neUAMO38H--A@@190@@@@201109@455_Minneapolis@.jpg
364,minneapolis,476361.2,4976583.7,@0476361.20@4976583.70@15@T@044.94229@-093.29962@oJ9hcpqwx_s6ubFnRw2uDw@@152@@@@201408@364_Minneapolis@.jpg
455,minneapolis,476361.25,4976696.7,@0476361.25@4976696.70@15@T@044.94331@-093.29963@1xuV08IKLLMZkfKkiruOFg@@194@@@@201905@455_Minneapolis@.jpg
2002,minneapolis,476361.54,4978572.49,@0476361.54@4978572.49@15@T@044.96019@-093.29971@i7fmSMQZ6IeFwWuZ5_seCA@@234@@@@201106@2002_Minneapolis@.jpg
182,minneapolis,476361.74,4976359.55,@0476361.74@4976359.55@15@T@044.94027@-093.29960@-iZcnD-5dMh2kPVNfh9BBA@@295@@@@200707@182_Minneapolis@.jpg
2002,minneapolis,476361.91,4978576.16,@0476361.91@4978576.16@15@T@044.96023@-093.29971@ADC1AMEAZ55CRuGMlr-BUQ@@242@@@@201109@2002_Minneapolis@.jpg
455,minneapolis,476361.95,4976698.94,@0476361.95@4976698.94@15@T@044.94333@-093.29962@3gvC6Rr5_7owJa14d3awgQ@@018@@@@201708@455_Minneapolis@.jpg
455,minneapolis,476362.08,4976700.33,@0476362.08@4976700.33@15@T@044.94334@-093.29962@61XpTKImptM1gkMpagmBsg@@013@@@@201410@455_Minneapolis@.jpg
455,minneapolis,476362.36,4976697.67,@0476362.36@4976697.67@15@T@044.94332@-093.29961@eFPSQXiYyJCAI0FgMAz3Vg@@014@@@@201408@455_Minneapolis@.jpg
