place_id,class_name,UTMx,UTMy,filename
3183,osaka,543127.33,3839682.24,@0543127.33@3839682.24@53@S@034.69825@0135.47089@YZgpijwd1UBMBDuU-ZIr1A@@295@@@@201604@3183_Osaka@.jpg
3183,osaka,543127.56,3839679.56,@0543127.56@3839679.56@53@S@034.69822@0135.47089@CwopIdAjt_f_musyCR2jdw@@292@@@@201909@3183_Osaka@.jpg
3183,osaka,543127.95,3839680.24,@0543127.95@3839680.24@53@S@034.69823@0135.47090@a5CEXu1c9eAVj7tI_xaI-Q@@297@@@@201402@3183_Osaka@.jpg
3183,osaka,543128.5,3839679.24,@0543128.50@3839679.24@53@S@034.69822@0135.47090@ZknC8JOfJbKVHedTqjNlbg@@291@@@@201606@3183_Osaka@.jpg
3244,osaka,543128.57,3839777.62,@0543128.57@3839777.62@53@S@034.69911@0135.47091@N5Vbv16ynlejV6VmGh8FQg@@191@@@@201504@3244_Osaka@.jpg
3183,osaka,543128.89,3839680.33,@0543128.89@3839680.33@53@S@034.69823@0135.47091@bLUMwPDqI1-4pwtDHiaULw@@104@@@@200910@3183_Osaka@.jpg
3183,osaka,543128.95,3839679.45,@0543128.95@3839679.45@53@S@034.69822@0135.47091@7ZS-kKon2QLxp-Wu-XAwZw@@286@@@@201809@3183_Osaka@.jpg
3244,osaka,543129.7,3839776.25,@0543129.70@3839776.25@53@S@034.69910@0135.47092@0jpwisgJzrvwjkV6IEvRww@@210@@@@201809@3244_Osaka@.jpg
3183,osaka,543129.75,3839679.22,@0543129.75@3839679.22@53@S@034.69822@0135.47092@vANNtKr6ohRx0rHtszaamw@@105@@@@201503@3183_Osaka@.jpg
3183,osaka,543129.85,3839678.82,@0543129.85@3839678.82@53@S@034.69822@0135.47092@-MGNGIBr9icrxBWUIlTiHg@@112@@@@201710@3183_Osaka@.jpg
3244,osaka,543130.24,3839776.37,@0543130.24@3839776.37@53@S@034.69910@0135.47093@JS49smckEh0Q-QZ9hwoK7g@@193@@@@201908@3244_Osaka@.jpg
3183,osaka,543130.46,3839678.59,@0543130.46@3839678.59@53@S@034.69822@0135.47092@de1xUiJtmxVqkUuyK56KfA@@117@@@@201309@3183_Osaka@.jpg
3244,osaka,543131.79,3839775.63,@0543131.79@3839775.63@53@S@034.69909@0135.47094@eQ6A2S8UPGY3DXoKL55E8Q@@191@@@@201604@3244_Osaka@.jpg
