place_id,class_name,UTMx,UTMy,filename
4768,osl,591711.68,6647757.97,@0591711.68@6647757.97@32@V@059.95697@0010.64221@9maGM2Bs4YSB0ksY4igw_w@@244@@@@201910@4768_OSL@.jpg
4768,osl,591712.45,6647757.86,@0591712.45@6647757.86@32@V@059.95697@0010.64223@sxOl_PK88NnWIGw0WlEwNQ@@241@@@@201908@4768_OSL@.jpg
4768,osl,591713.83,6647754.41,@0591713.83@6647754.41@32@V@059.95694@0010.64225@jut0JZM0BbjWOyYWmF1cog@@421@@@@201812@4768_OSL@.jpg
4768,osl,591714.52,6647754.33,@0591714.52@6647754.33@32@V@059.95694@0010.64226@xSw34ZdIs5NNeCSXj5wztw@@234@@@@201906@4768_OSL@.jpg
4768,osl,591714.61,6647760.06,@0591714.61@6647760.06@32@V@059.95699@0010.64227@lIzQMzZqtvhkWg45hMkwlA@@419@@@@201706@4768_OSL@.jpg
3591,osl,591714.98,6646313.44,@0591714.98@6646313.44@32@V@059.94401@0010.64163@Yt4OMUS-okgcj37_M6ICWQ@@388@@@@201906@3591_OSL@.jpg
3591,osl,591715.16,6646314.45,@0591715.16@6646314.45@32@V@059.94402@0010.64163@Rd_r2vAAR2WMy3ItDl-VUg@@399@@@@201009@3591_OSL@.jpg
3591,osl,591715.26,6646318.62,@0591715.26@6646318.62@32@V@059.94405@0010.64164@ffi0m9Ww0FOM3AAY08XrxQ@@403@@@@201605@3591_OSL@.jpg
3591,osl,591718.57,6646316.91,@0591718.57@6646316.91@32@V@059.94404@0010.64170@pEfVTP0Vm2_e8-YBq3pASA@@208@@@@200905@3591_OSL@.jpg
3591,osl,591718.85,6646320.35,@0591718.85@6646320.35@32@V@059.94407@0010.64170@oOp33Jnc8lgMz0W4RusMjg@@211@@@@201705@3591_OSL@.jpg
3591,osl,591718.89,6646316.07,@0591718.89@6646316.07@32@V@059.94403@0010.64170@86dKdCO5V0G-QFLukd90hQ@@233@@@@201910@3591_OSL@.jpg
3591,osl,591719.13,6646314.95,@0591719.13@6646314.95@32@V@059.94402@0010.64170@hGixQ1oXKdxIP3hnkei8Ag@@207@@@@201812@3591_OSL@.jpg
3682,osl,591729.56,6646436.44,@0591729.56@6646436.44@32@V@059.94511@0010.64194@O5k7Q3Buzypd1nnafWTrcw@@513@@@@201705@3682_OSL@.jpg
3682,osl,591730.02,6646433.45,@0591730.02@6646433.45@32@V@059.94508@0010.64195@EjmS0MulpcGoRvx06b00XQ@@492@@@@200905@3682_OSL@.jpg
3682,osl,591730.14,6646434.95,@0591730.14@6646434.95@32@V@059.94510@0010.64195@yQoGU269NvR0Ld8KPhw2Sw@@515@@@@201910@3682_OSL@.jpg
3682,osl,591730.86,6646435.68,@0591730.86@6646435.68@32@V@059.94510@0010.64197@nLLqtETugvgvxGvgUPo3xg@@484@@@@201812@3682_OSL@.jpg
2749,osl,591746.33,6645307.62,@0591746.33@6645307.62@32@V@059.93497@0010.64174@VM-LWt45FlkIN7UeU0VgEQ@@226@@@@201910@2749_OSL@.jpg
2749,osl,591748.43,6645307.28,@0591748.43@6645307.28@32@V@059.93497@0010.64178@3WAzF7JMYLcwW1WOYwXSZQ@@223@@@@201812@2749_OSL@.jpg
4696,osl,591765.58,6647652.42,@0591765.58@6647652.42@32@V@059.95602@0010.64313@ZNTR933HWeurTTmIof_g-w@@269@@@@201812@4696_OSL@.jpg
4696,osl,591766.22,6647648.69,@0591766.22@6647648.69@32@V@059.95598@0010.64314@ddfk_iwMaZMxqWEHjUGOpg@@094@@@@201908@4696_OSL@.jpg
4696,osl,591766.69,6647646.88,@0591766.69@6647646.88@32@V@059.95597@0010.64315@zI5m2oWofOzdHFPv7DJetQ@@100@@@@201906@4696_OSL@.jpg
4696,osl,591766.85,6647646.06,@0591766.85@6647646.06@32@V@059.95596@0010.64315@IwQVdHKvuu7EEiCc7vf8LQ@@070@@@@200905@4696_OSL@.jpg
4696,osl,591769.47,6647649.28,@0591769.47@6647649.28@32@V@059.95599@0010.64320@1JHZ8YoDTy-L8bEKVTnT9Q@@255@@@@201910@4696_OSL@.jpg
4696,osl,591769.86,6647649.46,@0591769.86@6647649.46@32@V@059.95599@0010.64320@xoLp5PhJPqCdc56DhcJatg@@267@@@@201706@4696_OSL@.jpg
3502,osl,591774.73,6646188.42,@0591774.73@6646188.42@32@V@059.94287@0010.64264@RtkNUh4hfm-sFxpyuFex3w@@243@@@@201812@3502_OSL@.jpg
3502,osl,591777.52,6646191.03,@0591777.52@6646191.03@32@V@059.94290@0010.64269@GBMOqP4RG_fze7is9JKB4Q@@249@@@@201910@3502_OSL@.jpg
3502,osl,591777.79,6646190.01,@0591777.79@6646190.01@32@V@059.94289@0010.64270@mt7ZaewB718w-lwa8rQdJw@@247@@@@200905@3502_OSL@.jpg
3502,osl,591779.2,6646192.6,@0591779.20@6646192.60@32@V@059.94291@0010.64272@cF-UEXqx3xcB2Y2OXNtJbw@@225@@@@201009@3502_OSL@.jpg
2547,osl,591782.52,6645082.73,@0591782.52@6645082.73@32@V@059.93295@0010.64229@Nc75OCoJ2xqV_uQb1UewNw@@471@@@@201910@2547_OSL@.jpg
4619,osl,591784.9,6647542.16,@0591784.90@6647542.16@32@V@059.95502@0010.64343@HIKeVyfuREyb1LPhMnIFAg@@106@@@@201908@4619_OSL@.jpg
2547,osl,591785.33,6645079.26,@0591785.33@6645079.26@32@V@059.93291@0010.64234@q2Wrx5X3IO-B9BVNNftaWA@@475@@@@201812@2547_OSL@.jpg
4619,osl,591787.88,6647544.37,@0591787.88@6647544.37@32@V@059.95504@0010.64348@Z9oaA1tArib03osVjhNnRQ@@293@@@@201910@4619_OSL@.jpg
