place_id,class_name,UTMx,UTMy,filename
943,prg,451990.3,5545565.26,@0451990.30@5545565.26@33@U@050.06043@0014.32925@xGIbUmCdgCKR0glKaKboKQ@@339@@@@201204@943_PRG@.jpg
943,prg,451990.82,5545566.47,@0451990.82@5545566.47@33@U@050.06044@0014.32926@263Fx7pk4k5Lq6jAMnpxbw@@359@@@@200905@943_PRG@.jpg
943,prg,451990.89,5545563.94,@0451990.89@5545563.94@33@U@050.06041@0014.32926@NjnMzR0sDSa9RUG-ZZ7ztg@@532@@@@201909@943_PRG@.jpg
943,prg,451990.89,5545565.69,@0451990.89@5545565.69@33@U@050.06043@0014.32926@Ro7QIi_Az9Xn5sRmgYKQVw@@337@@@@201706@943_PRG@.jpg
943,prg,451991.41,5545565.32,@0451991.41@5545565.32@33@U@050.06043@0014.32927@fiitM_nv1PXt1cC6pQLX6g@@356@@@@201405@943_PRG@.jpg
1005,prg,452006.14,5545711.52,@0452006.14@5545711.52@33@U@050.06174@0014.32946@v-JP01t1gdvvLVEtvLDoyQ@@276@@@@201909@1005_PRG@.jpg
1005,prg,452006.58,5545711.24,@0452006.58@5545711.24@33@U@050.06174@0014.32946@YkE2ObgZhJ94BCf03pJNkA@@452@@@@201405@1005_PRG@.jpg
144,prg,452006.96,5543371.4,@0452006.96@5543371.40@33@U@050.04070@0014.32976@qGQDkm2NQGQxB9Vl1xWLKw@@153@@@@201405@144_PRG@.jpg
1005,prg,452007.17,5545710.52,@0452007.17@5545710.52@33@U@050.06173@0014.32947@OwhfPNhUfbr1TAloq5HTAw@@479@@@@200905@1005_PRG@.jpg
144,prg,452007.76,5543369.84,@0452007.76@5543369.84@33@U@050.04068@0014.32977@LqDiT2S4iWz64nJnXyLKtA@@334@@@@201204@144_PRG@.jpg
144,prg,452009.49,5543371.71,@0452009.49@5543371.71@33@U@050.04070@0014.32980@Hj79K7VX63DWd6snXVY--w@@309@@@@201903@144_PRG@.jpg
1192,prg,452009.71,5546288.68,@0452009.71@5546288.68@33@U@050.06693@0014.32943@QEhiX6lNEZIR1QqVbPPV9w@@126@@@@201903@1192_PRG@.jpg
1192,prg,452011.39,5546289.15,@0452011.39@5546289.15@33@U@050.06694@0014.32946@0ru66xZLvt4hfV4oL2I9hA@@120@@@@201706@1192_PRG@.jpg
1192,prg,452011.55,5546290.12,@0452011.55@5546290.12@33@U@050.06695@0014.32946@2YP6oRA5poZ1XPiBLvgxXA@@103@@@@201204@1192_PRG@.jpg
266,prg,452011.83,5543758.21,@0452011.83@5543758.21@33@U@050.04418@0014.32978@Vrmn-6TzMidBLPthdFWFQg@@638@@@@201110@266_PRG@.jpg
1192,prg,452011.83,5546293.07,@0452011.83@5546293.07@33@U@050.06697@0014.32946@j5kiwoD9YijQc0uGiw_EbQ@@106@@@@201909@1192_PRG@.jpg
266,prg,452011.89,5543756.8,@0452011.89@5543756.80@33@U@050.04416@0014.32978@wwwleMl-omc53cS8yl-V7A@@456@@@@201204@266_PRG@.jpg
266,prg,452012.44,5543758.6,@0452012.44@5543758.60@33@U@050.04418@0014.32979@RZEeW3pRffEKxgPDLW0kLw@@658@@@@200905@266_PRG@.jpg
266,prg,452012.65,5543757.07,@0452012.65@5543757.07@33@U@050.04417@0014.32979@EzivGIFd_mkQQWFWgQUTLg@@461@@@@201706@266_PRG@.jpg
