place_id,class_name,UTMx,UTMy,filename
2467,trt,607632.87,4843244.33,@0607632.87@4843244.33@17@T@043.73442@-079.66346@muiqNgLhK2dShwxbVQmkcQ@@257@@@@201404@2467_TRT@.jpg
2467,trt,607636.63,4843247.4,@0607636.63@4843247.40@17@T@043.73444@-079.66341@rZ9FdafyxtuWVhw4Xxa_NA@@247@@@@201904@2467_TRT@.jpg
2467,trt,607638.72,4843247.32,@0607638.72@4843247.32@17@T@043.73444@-079.66339@WZVcz7VjPoFT4SK-2Mcm-Q@@258@@@@200904@2467_TRT@.jpg
2467,trt,607639.41,4843243.86,@0607639.41@4843243.86@17@T@043.73441@-079.66338@LZqaD_gn0gLBY8_dHXR50g@@264@@@@201810@2467_TRT@.jpg
2467,trt,607639.99,4843244.84,@0607639.99@4843244.84@17@T@043.73442@-079.66337@fwdg8wQMG2cbugwrSYH8ig@@262@@@@201708@2467_TRT@.jpg
1679,trt,607703.72,4839649.29,@0607703.72@4839649.29@17@T@043.70205@-079.66330@4dxsqNRjDNO217uXuaafNA@@361@@@@201810@1679_TRT@.jpg
1679,trt,607704.27,4839650.1,@0607704.27@4839650.10@17@T@043.70205@-079.66329@v9sFaJfcoc4FAYi4tBU4fg@@359@@@@201409@1679_TRT@.jpg
1679,trt,607704.3,4839649.16,@0607704.30@4839649.16@17@T@043.70204@-079.66329@TYUHRvMuqOfD33OgW_c1vg@@358@@@@201204@1679_TRT@.jpg
1679,trt,607705.22,4839649.12,@0607705.22@4839649.12@17@T@043.70204@-079.66328@cz8GOOoVCpvBgWJJW9AmRQ@@363@@@@201107@1679_TRT@.jpg
1679,trt,607705.97,4839648.41,@0607705.97@4839648.41@17@T@043.70204@-079.66327@XDpZQLlwSd7gQJlGovBvRw@@361@@@@201506@1679_TRT@.jpg
1679,trt,607706.97,4839646.75,@0607706.97@4839646.75@17@T@043.70202@-079.66326@xto_xZu2LS2ISb8z1jXD8g@@352@@@@200906@1679_TRT@.jpg
1679,trt,607707.18,4839646.2,@0607707.18@4839646.20@17@T@043.70202@-079.66326@D5ihcPhmQv2UTSM1pMxAlA@@364@@@@201910@1679_TRT@.jpg
1679,trt,607707.45,4839646.31,@0607707.45@4839646.31@17@T@043.70202@-079.66325@t8AJzhZu0uyHi9Ffi9b-uQ@@359@@@@201207@1679_TRT@.jpg
1679,trt,607707.61,4839645.16,@0607707.61@4839645.16@17@T@043.70201@-079.66325@kLJPynxKqqqsap_fXuMPEg@@349@@@@201709@1679_TRT@.jpg
1679,trt,607707.77,4839647.18,@0607707.77@4839647.18@17@T@043.70203@-079.66325@RY2F7O5BUwH0LOvjJ9vlww@@352@@@@201905@1679_TRT@.jpg
1923,trt,607707.79,4840742.71,@0607707.79@4840742.71@17@T@043.71189@-079.66303@TBXzDnNi9jOwXPzgZsLYzg@@592@@@@201109@1923_TRT@.jpg
1923,trt,607708.11,4840742.82,@0607708.11@4840742.82@17@T@043.71189@-079.66303@RmWvIoG6z83fKa-ksBcBXA@@603@@@@201406@1923_TRT@.jpg
1679,trt,607708.37,4839645.64,@0607708.37@4839645.64@17@T@043.70201@-079.66324@nbdlQCBAhFBxJ1f_ElVeJg@@365@@@@201908@1679_TRT@.jpg
1923,trt,607708.94,4840743.88,@0607708.94@4840743.88@17@T@043.71190@-079.66302@CT7g1VeUGj3lbP3AeLAyAg@@616@@@@201810@1923_TRT@.jpg
1923,trt,607709.35,4840744.8,@0607709.35@4840744.80@17@T@043.71191@-079.66301@gESyiVmBMO673X2drTGP8g@@609@@@@201204@1923_TRT@.jpg
