place_id,class_name,UTMx,UTMy,filename
638,washingtondc,321674.7,4307538.3,@0321674.70@4307538.30@18@S@038.89863@-077.05635@SR7t4H61Gu96wFekH1l6Sg@@536@@@@201706@638_WashingtonDC@.jpg
638,washingtondc,321677.05,4307540.46,@0321677.05@4307540.46@18@S@038.89865@-077.05632@qWRy4il2ksdQ5oAE6JUujQ@@520@@@@201103@638_WashingtonDC@.jpg
638,washingtondc,321677.2,4307542.15,@0321677.20@4307542.15@18@S@038.89867@-077.05632@3ExhuSA6lCbKeFAxi1tA0Q@@539@@@@201810@638_WashingtonDC@.jpg
638,washingtondc,321677.48,4307537.65,@0321677.48@4307537.65@18@S@038.89863@-077.05632@S7B6cTGlMl1d9BbdBf-T-g@@532@@@@200806@638_WashingtonDC@.jpg
638,washingtondc,321677.5,4307539.08,@0321677.50@4307539.08@18@S@038.89864@-077.05632@HtFgiHmKoI6X15o5_3kwTg@@518@@@@200907@638_WashingtonDC@.jpg
638,washingtondc,321677.5,4307540.56,@0321677.50@4307540.56@18@S@038.89865@-077.05632@6sNs5gh48hzRfrvH7-htvQ@@537@@@@201205@638_WashingtonDC@.jpg
638,washingtondc,321677.56,4307539.76,@0321677.56@4307539.76@18@S@038.89865@-077.05632@AaU2oMJYg6BOmMT3IXfS8g@@536@@@@201404@638_WashingtonDC@.jpg
638,washingtondc,321677.57,4307538.07,@0321677.57@4307538.07@18@S@038.89863@-077.05632@dtsTYQmFEIF5M94hIYJFvg@@517@@@@200708@638_WashingtonDC@.jpg
638,washingtondc,321677.64,4307539.2,@0321677.64@4307539.20@18@S@038.89864@-077.05632@JL4xtn0dZCZInrRtoP9VEA@@535@@@@201909@638_WashingtonDC@.jpg
638,washingtondc,321677.67,4307540.19,@0321677.67@4307540.19@18@S@038.89865@-077.05632@-HPqieZfmK15dPvhwPATRQ@@526@@@@201410@638_WashingtonDC@.jpg
638,washingtondc,321677.67,4307541.65,@0321677.67@4307541.65@18@S@038.89866@-077.05632@HsUTz96WUWDnNOkY-egZeA@@530@@@@201106@638_WashingtonDC@.jpg
638,washingtondc,321678.39,4307534.47,@0321678.39@4307534.47@18@S@038.89860@-077.05631@NafUrK081JgAsIxzblSOKQ@@519@@@@201408@638_WashingtonDC@.jpg
352,washingtondc,321699.74,4306991.14,@0321699.74@4306991.14@18@S@038.89371@-077.05592@Ou1-tBvM461FdRml5BxbHg@@520@@@@201808@352_WashingtonDC@.jpg
352,washingtondc,321700.11,4306990.99,@0321700.11@4306990.99@18@S@038.89371@-077.05591@fOCDayA3uTksuhSlbo7Psg@@524@@@@201706@352_WashingtonDC@.jpg
352,washingtondc,321701.62,4306987.5,@0321701.62@4306987.50@18@S@038.89368@-077.05590@xXxL6a9o_Tql0XN4-pIDKw@@515@@@@201406@352_WashingtonDC@.jpg
352,washingtondc,321702.04,4306989.43,@0321702.04@4306989.43@18@S@038.89369@-077.05589@9mYQAQ83PDwL7yUMb6iJyg@@517@@@@201205@352_WashingtonDC@.jpg
352,washingtondc,321703.06,4306991.9,@0321703.06@4306991.90@18@S@038.89372@-077.05588@dYjjp5aHaIRE5qPkGpFleg@@532@@@@200907@352_WashingtonDC@.jpg
352,washingtondc,321703.34,4306992.36,@0321703.34@4306992.36@18@S@038.89372@-077.05588@C7Sq2zG6T65WMeBlrWf_Ng@@524@@@@200806@352_WashingtonDC@.jpg
352,washingtondc,321703.81,4306989.51,@0321703.81@4306989.51@18@S@038.89370@-077.05587@GxlwIUXsWeLun4JYvdd9WA@@525@@@@201810@352_WashingtonDC@.jpg
352,washingtondc,321703.92,4306989.14,@0321703.92@4306989.14@18@S@038.89369@-077.05587@MUgGSgR1o233uDYVli-kCQ@@534@@@@201408@352_WashingtonDC@.jpg
352,washingtondc,321703.95,4306989.96,@0321703.95@4306989.96@18@S@038.89370@-077.05587@kJOz5NtXcC1UXetPr8HaKA@@531@@@@201106@352_WashingtonDC@.jpg
352,washingtondc,321703.97,4306989.58,@0321703.97@4306989.58@18@S@038.89370@-077.05587@LSCWIT2aEdFskHANu9xYHQ@@525@@@@201103@352_WashingtonDC@.jpg
352,washingtondc,321704.07,4306990.52,@0321704.07@4306990.52@18@S@038.89371@-077.05587@Qwl7c5W_lJUBLBuRFXAgOg@@523@@@@201909@352_WashingtonDC@.jpg
352,washingtondc,321704.52,4306988.68,@0321704.52@4306988.68@18@S@038.89369@-077.05586@fWCP5ke0CMGfjWBxFDUrPw@@525@@@@201410@352_WashingtonDC@.jpg
352,washingtondc,321704.62,4306988.98,@0321704.62@4306988.98@18@S@038.89369@-077.05586@6T6YIXDYp8AJFGetOnWbaA@@517@@@@200708@352_WashingtonDC@.jpg
986,washingtondc,321727.64,4308235.96,@0321727.64@4308235.96@18@S@038.90493@-077.05592@pps2BF2kzCdgFzsfRKb2Ag@@413@@@@200907@986_WashingtonDC@.jpg
986,washingtondc,321728.69,4308233.31,@0321728.69@4308233.31@18@S@038.90490@-077.05591@9XQQIXhnTY50PXmZbpqr6A@@405@@@@201404@986_WashingtonDC@.jpg
